id,submitted_at,age_group,gender,occupation,region,drives_weekly,drinking_freq,fav_alcohols_arr,nonalc_freq,health_reasons_arr,purchase_intent,price_band,satisfaction_int,free_comment,positive_point,negative_feedback,scene,positive_point_category,positive_point_confidence,negative_feedback_category,negative_feedback_confidence
44,2025-07-07 10:52:19,20s,female,company_employee,kanto,False,weekly,['shochu'],first_time,['none'],def_buy,250_299,4,香りが特に良くて、お風呂上がりにゆっくり飲みたいと思いました。250〜299円の価格帯なら定期的に購入したいです。普段は焼酎派ですが、このクラフトビールは満足度が高かったです。,香りが特に良い,価格がもう少し低ければ定期的に購入したい,お風呂上がり,Aroma,0.99,PriceValue,0.99
45,2025-07-07 00:00:22,50s,male,company_employee,kanto,False,weekly,['none'],sometimes,['none'],unsure,250_299,4,バーベキューの際に飲みたいと思いました。後味が特に良く、満足度も高いです。価格がもう少し安ければ、購入を検討したいと思います。,後味が良く満足度が高い,価格が更に低ければ購入を検討できる,バーベキュー,DrinkabilityAftertaste,0.99,PriceValue,0.99
46,2025-07-07 18:52:29,20s,female,company_employee,chubu,True,weekly,['cocktail' 'chuhai' 'highball'],sometimes,['none'],def_buy,250_299,4,香りの豊かさに魅了され、ランチブレイクにぴったりの爽やかな味わいに満足しました。普段はカクテルやチューハイを好みますが、このクラフトビールは週に一度の楽しみとして取り入れたいと思えるほど気に入り、250〜299円という価格も納得の美味しさでした。,香りが豊か,,ランチブレイク,Aroma,1.0,,
47,2025-07-06 20:44:40,20s,male,homemaker,kanto,False,monthly,['shochu' 'cocktail' 'beer'],sometimes,['doctor_advice' 'low_sugar'],no,250_299,5,バーベキューで飲むのにぴったりな価格で、こんなに美味しいクラフトビールが飲めるなんて最高！もう少し苦みが効いてたら個人的には完璧だけど、このコスパは反則級に良い！,価格が手頃で美味しい,苦味がもう少し強ければ完璧,バーベキュー,PriceValue,0.9,Flavor,0.99
48,2025-07-07 16:47:33,40s,male,company_employee,kinki,False,weekly,['cocktail' 'beer' 'highball'],sometimes,['none'],maybe,250_299,4,お風呂上がりに飲みたい、味わい深いクラフトビールだけど、もう少しお手頃な価格だと嬉しいな。,味わい深いクラフトビール,価格をより手頃に設定して欲しい,お風呂上がり,Flavor,1.0,PriceValue,0.99
49,2025-07-07 11:31:31,20s,male,other,kanto,False,weekly,['beer'],sometimes,['none'],def_buy,200_249,4,パッケージデザインがおしゃれで気に入りました！夕方リラックスタイムに最高ですが、もう少し価格が下がるとうれしいです。,パッケージデザインがおしゃれ,価格の引き下げが望ましい,夕方,PackagingDesign,1.0,PriceValue,0.99
50,2025-07-07 03:48:59,40s,female,student,kanto,True,daily,['sake'],sometimes,['low_carb' 'low_sugar'],maybe,250_299,2,パーティーで飲むには少し物足りなさを感じました。パッケージは魅力的なのですが、味わいがやや単調で、もう少し複雑さがあると良かったです。,パッケージが魅力的,味わいが単調で複雑さに欠ける,パーティー,PackagingDesign,0.99,Flavor,0.99
51,2025-07-06 10:46:39,20s,male,homemaker,overseas,True,daily,['beer' 'highball' 'shochu'],weekly,['none'],unsure,250_299,3,香りが特に良く、仕事の合間に楽しむのに適したクラフトビールでした。海外在住の身としては、日本のクラフトビールの香りの豊かさを感じられて嬉しかったです。価格が250〜299円程度であれば、時々購入を検討したいと思います。,香りが良い,価格が高い,仕事の合間,Aroma,1.0,PriceValue,0.99
52,2025-07-06 14:00:08,40s,male,homemaker,hokkaido_to_hoku,True,weekly,['beer'],sometimes,['doctor_advice'],maybe,200_249,4,夕方の一息つく時間に、このクラフトビールの豊かな後味を楽しむのは最高の贅沢だと感じました。炭酸がもう少し強めだとさらに爽快感が増すかもしれませんが、全体的なバランスは素晴らしく、200円台の価格帯であれば定期的に手に取りたい一品です。,豊かな後味,炭酸の強さを強化すれば爽快感が向上する,夕方,DrinkabilityAftertaste,1.0,MouthfeelCarbonation,1.0
53,2025-07-07 12:28:41,40s,female,company_employee,kanto,True,never,['sake' 'highball'],first_time,['low_carb' 'low_sugar'],def_buy,250_299,4,普段お酒は飲まないけど、このノンアルクラフトは香りが素敵で、ランチ休憩にぴったり！炭酸がもう少し控えめだったらなお良いかも。,香りが素敵,炭酸の強さを抑えるとさらに好ましい,ランチ,Aroma,1.0,MouthfeelCarbonation,0.99
54,2025-07-07 04:24:23,40s,male,other,chubu,False,monthly,['sake' 'highball' 'shochu'],weekly,['low_sugar' 'low_carb'],def_buy,250_299,4,後味がスッキリしていて飲みやすい。パーティーで出したら盛り上がりそう。炭酸がもう少し強いとなお良いかも。,後味がスッキリで飲みやすい,炭酸の強さを増すとさらに好ましい,パーティー,DrinkabilityAftertaste,0.99,MouthfeelCarbonation,1.0
55,2025-07-06 13:06:28,20s,male,homemaker,kinki,False,weekly,['chuhai' 'cocktail' 'wine'],sometimes,['liver_care' 'low_cal'],maybe,300_349,2,炭酸がもっと強ければ夕方のリラックスタイムに最高だったのに、物足りなさを感じた。,炭酸が強いと最高,炭酸の強度が不足しており満足感に欠ける,夕方,MouthfeelCarbonation,1.0,MouthfeelCarbonation,0.99
56,2025-07-07 06:15:10,30s,female,homemaker,kanto,False,monthly,['chuhai' 'cocktail' 'beer'],weekly,['low_carb' 'low_sugar'],maybe,250_299,3,パッケージデザインが魅力的で、BBQのときに飲みたいと思いました。炭酸がもう少し強めだとさらに良かったかも。糖質や糖分が控えめなのは嬉しいポイントです。250〜299円なら検討したいです。,糖質や糖分が控えめ,炭酸の強さを強める必要がある,BBQ,CaloriesCarbs,0.99,MouthfeelCarbonation,0.99
57,2025-07-06 15:09:55,40s,other,self_employed,kanto,False,weekly,['wine'],sometimes,['fitness'],maybe,250_299,5,風呂上がりに楽しむのにぴったりな味わい深さで、特に後味の余韻が素晴らしかったです！ワイン好きの私でも満足できる複雑な風味が楽しめました。苦みがもう少し控えめだとさらに飲みやすくなるかもしれませんね。,後味の余韻が素晴らしい,苦味を抑えると飲みやすさが向上する,風呂上がり,DrinkabilityAftertaste,0.99,DrinkabilityAftertaste,0.95
58,2025-07-07 02:05:39,30s,male,company_employee,kanto,False,daily,['highball' 'cocktail' 'beer'],sometimes,['low_sugar'],def_buy,250_299,2,クラフトビールの味わいや後味は確かに良かったのですが、価格が高すぎると感じました。お風呂上がりに気軽に楽しめるビールとしては少し贅沢すぎるので、250〜300円程度まで価格を下げてもらえると日常的に購入しやすくなると思います。,味わいが良い,価格が高すぎるため日常的に購入しにくい,お風呂上がり,Flavor,0.99,PriceValue,0.99
59,2025-07-06 23:50:34,30s,male,student,kanto,False,weekly,['beer' 'wine' 'shochu'],sometimes,['pregnancy' 'low_sugar'],def_buy,200_249,5,香りが素晴らしくて夕方のリラックスタイムにぴったり、このクオリティなら220円くらいでも絶対買いますが、もう少し炭酸強めだとさらに完璧かも！,香りが素晴らしい,炭酸の強さを増すと更に満足できる,リラックスタイム,Aroma,1.0,MouthfeelCarbonation,0.99
60,2025-07-07 01:51:44,30s,male,company_employee,kanto,False,weekly,['beer'],sometimes,['fitness'],def_buy,200_249,5,お風呂上がりに最高！後味がすっきりして体にも優しい感じ。,後味がすっきりして体にも優しい,,お風呂上がり,DrinkabilityAftertaste,0.99,,
61,2025-07-07 07:55:57,20s,female,other,kanto,False,weekly,['cocktail' 'highball' 'shochu'],sometimes,['liver_care' 'low_cal'],def_buy,200_249,5,運動後の爽快感にぴったり合う香りが最高で、もう少し炭酸強めだったら完璧だけど、このクラフトビールは絶対リピ決定です！,爽快感に合う香りが最高,炭酸の強さを増やすと更に良くなる,運動後,Aroma,0.99,MouthfeelCarbonation,1.0
62,2025-07-07 02:48:41,30s,male,company_employee,chugoku_shikoku,False,monthly,['chuhai' 'wine' 'cocktail'],weekly,['low_cal'],unsure,250_299,3,炭酸がもう少し強めだと良かったですが、後味の爽やかさは気に入りました。夕方にリラックスして飲むのに合いそうな味わいで、低カロリーなのも嬉しいポイントです。価格が250円台なら検討するかもしれません。,後味が爽やか,炭酸の強さが不足している,夕方,DrinkabilityAftertaste,1.0,MouthfeelCarbonation,1.0
63,2025-07-07 16:29:16,30s,female,company_employee,kanto,False,weekly,['highball' 'chuhai'],sometimes,['low_sugar' 'low_cal'],maybe,250_299,4,お風呂上がりにさっぱりと楽しめるクラフトビールで、カロリー控えめなのが嬉しいポイントでした。味わいも満足できるレベルで、健康を意識している私にぴったりです。価格がもう少しリーズナブルになれば、もっと気軽に購入したいと思います。,カロリー控えめ,価格をさらにリーズナブルに設定すべきです,お風呂上がり,CaloriesCarbs,1.0,PriceValue,1.0
64,2025-07-06 19:10:29,40s,female,other,kyushu_okinawa,True,weekly,['shochu'],sometimes,['low_carb' 'doctor_advice'],maybe,300_349,5,運動後の爽快感とともに味わうこのクラフトビールは、まさに至福のひとときを演出してくれます。低糖質なのに本格的な味わいが楽しめるのが嬉しく、週に一度の楽しみとして定着しそうですが、もう少しリーズナブルな価格だとより気軽に手に取れるかなと思います。,低糖質で本格的な味わい,価格をもう少しリーズナブルに設定すれば購入しやすくなると考えます,運動後,CaloriesCarbs,0.9,PriceValue,0.99
65,2025-07-07 10:57:18,50s,male,self_employed,chubu,False,daily,['wine'],sometimes,['none'],maybe,250_299,1,香りは良かったけど、炭酸が強すぎて夜にゆっくり飲むには刺激が強すぎる。この値段なら炭酸控えめのワインの方がまだマシだな。,香りが良い,炭酸が強すぎて夜間の飲用には不適切,夜,Aroma,1.0,MouthfeelCarbonation,0.97
66,2025-07-07 05:10:13,u19,male,company_employee,kinki,False,weekly,['cocktail' 'sake' 'beer'],first_time,['fitness'],unsure,200_249,4,余韻が良くて、夕方のリラックスタイムにぴったり。,余韻が良い,,夕方,DrinkabilityAftertaste,1.0,,
67,2025-07-07 03:04:34,50s,male,student,chubu,True,weekly,['highball' 'wine'],weekly,['none'],unsure,200_249,4,バーベキューで飲むのに良さそうな低カロリーなのが気に入りました。苦みがもう少し控えめだと嬉しいかも。,低カロリーが気に入った,苦味を抑えてほしい,バーベキュー,CaloriesCarbs,0.99,Flavor,0.99
68,2025-07-07 16:59:24,20s,male,company_employee,kanto,True,weekly,['shochu'],weekly,['fitness' 'low_sugar'],no,under199,4,味わいが良く、夕方のリラックスタイムにぴったりだと思いました。炭酸がもう少し強めだとさらに楽しめそうです。健康に気を使っている身としては低糖質なのも嬉しいポイントでした。,味わいが良く低糖質,炭酸の強さを増すことが望ましい,夕方,Flavor,0.95,MouthfeelCarbonation,1.0
